name,number,sex,year
Dylan,98,Male,2022
Valentina,76,Female,2022
Lara,76,Female,2022
Anastasia,76,Female,2022
Julian,97,Male,2022
Ashton,97,Male,2022
Zayn,96,Male,2022
Lennox,96,Male,2022
Charlie,75,Female,2022
Leah,73,Female,2022
Matthew,95,Male,2022
Koa,95,Male,2022
Ari,95,Male,2022
Jasmine,72,Female,2022
Elodie,72,Female,2022
Maryam,70,Female,2022
Luke,94,Male,2022
Quinn,69,Female,2022
Oliver,695,Male,2021
Olivia,493,Female,2021
Noah,633,Male,2021
Amelia,489,Female,2021
Jack,459,Male,2021
Charlotte,486,Female,2021
William,458,Male,2021
Isla,439,Female,2021
Henry,444,Male,2021
Ava,414,Female,2021
Leo,424,Male,2021
Mia,375,Female,2021
Lucas,410,Male,2021
Grace,367,Female,2021
Theodore,378,Male,2021
Chloe,335,Female,2021
Levi,339,Male,2021
Matilda,326,Female,2021
Liam,336,Male,2021
Ella,322,Female,2021
Elijah,331,Male,2021
Sienna,305,Female,2021
Thomas,330,Male,2021
Sophia,299,Female,2021
Charlie,327,Male,2021
Isabella,290,Female,2021
Archie,327,Male,2021
Willow,275,Female,2021
Hudson,324,Male,2021
Lily,266,Female,2021
Luca,317,Male,2021
Zoe,264,Female,2021
Alexander,314,Male,2021
Evie,258,Female,2021
James,310,Male,2021
Harper,256,Female,2021
Ethan,285,Male,2021
Audrey,251,Female,2021
Lachlan,274,Male,2021
Sophie,246,Female,2021
Oscar,272,Male,2021
Evelyn,245,Female,2021
Harrison,270,Male,2021
Mila,242,Female,2021
Isaac,268,Male,2021
Sofia,231,Female,2021
Cooper,259,Male,2021
Ivy,231,Female,2021
Max,253,Male,2021
Ruby,221,Female,2021
George,245,Male,2021
Aria,219,Female,2021
Arthur,241,Male,2021
Hazel,210,Female,2021
Sebastian,240,Male,2021
Maya,197,Female,2021
Kai,238,Male,2021
Zara,193,Female,2021
Hunter,236,Male,2021
Lucy,192,Female,2021
Harvey,234,Male,2021
Florence,188,Female,2021
Benjamin,234,Male,2021
Georgia,188,Female,2021
Harry,232,Male,2021
