First Name,Amount,Position
"ZACHARIAH","4","=351"
"ZACK","4","=351"
"AAHIL","3","=453"
"ABRAHAM","3","=453"
"ABU","3","=453"
"ADITYA","3","=453"
"AKAAY","3","=453"
"ALEXANDROS","3","=453"
"AMEER","3","=453"
"ANDRE","3","=453"
"ANDREAS","3","=453"
"ARIE","3","=453"
"ARNOLD","3","=453"
"ARTIN","3","=453"
"ARYAN","3","=453"
"AVIN","3","=453"
"AVIRAJ","3","=453"
"AVITAAZ","3","=453"
"AYANSH","3","=453"
"BENNETT","3","=453"
"BRODY","3","=453"
"BRUCE","3","=453"
"BRYCE","3","=453"
"BRYSON","3","=453"
"CADE","3","=453"
"CASPIAN","3","=453"
"CAYDE","3","=453"
"CHRIS","3","=453"
"COLTER","3","=453"
"COLTON","3","=453"
"CONOR","3","=453"
"CORBEN","3","=453"
"CORMAC","3","=453"
"CURTIS","3","=453"
"DANNY","3","=453"
"DANTE","3","=453"
"DEV","3","=453"
"DIEGO","3","=453"
"DILLON","3","=453"
"DOMENICO","3","=453"
"DUSTY","3","=453"
"EASTON","3","=453"
"ERNEST","3","=453"
"FINAN","3","=453"
"FINNLEY","3","=453"
"FOREST","3","=453"
"FOX","3","=453"
"FRANCESCO","3","=453"
"FRANCIS","3","=453"
"GRAHAM","3","=453"
"GRIFFIN","3","=453"
"GURBAAZ","3","=453"
"GURNIWAZ","3","=453"
"GURWARIS","3","=453"
"HARLAN","3","=453"
"HARLEM","3","=453"
"HARTLEY","3","=453"
"HASHIR","3","=453"
"HASSAN","3","=453"
"HAYES","3","=453"
"HUKAM","3","=453"
"ILYAS","3","=453"
"ISHAAN","3","=453"
"ISSA","3","=453"
"IZAIAH","3","=453"
"JASON","3","=453"
"JAYCE","3","=453"
"JOAQUIN","3","=453"
"JOVI","3","=453"
"JUDAH","3","=453"
"JUSTIN","3","=453"
"KADEN","3","=453"
"KIERAN","3","=453"
"KIT","3","=453"
"KODA","3","=453"
"KYRIE","3","=453"
"LACHIE","3","=453"
"LAWSON","3","=453"
"LEONARD","3","=453"
"LLEYTON","3","=453"
"LUIS","3","=453"
"MACKENZIE","3","=453"
"MAKAI","3","=453"
"MALLEE","3","=453"
"MARKO","3","=453"
"MARLO","3","=453"
"MATHIAS","3","=453"
"MAXIM","3","=453"
"MEMPHIS","3","=453"
"MIGUEL","3","=453"
"MOHAMMAD","3","=453"
"MORRIS","3","=453"
"MURPHY","3","=453"
"NAKSH","3","=453"
"NAVID","3","=453"
"NAVY","3","=453"
"NEO","3","=453"
"NIHAAL","3","=453"
"NIRVAAN","3","=453"
"OMAR","3","=453"
"PADDY","3","=453"
"PAXTON","3","=453"
"PHILLIP","3","=453"
"RAGHAV","3","=453"
"RALPH","3","=453"
"RAYDEN","3","=453"
"RAYYAN","3","=453"
"REECE","3","=453"
"REGINALD","3","=453"
"REIGN","3","=453"
"REYAN","3","=453"
"REYANSH","3","=453"
"RICHARD","3","=453"
"RICHIE","3","=453"
"ROBIN","3","=453"
"ROHAN","3","=453"
"ROME","3","=453"
"RYLAND","3","=453"
"SAMAR","3","=453"
"SAMARTH","3","=453"
"SAMYAM","3","=453"
"SCOTT","3","=453"
"SLOANE","3","=453"
"SOHAIL","3","=453"
"SOL","3","=453"
"SOLI","3","=453"
"SRIYANSH","3","=453"
"STANLEY","3","=453"
"STEFAN","3","=453"
"SYLAS","3","=453"
"TEODOR","3","=453"
"TITUS","3","=453"
"VED","3","=453"
"VEDANT","3","=453"
"VINCENZO","3","=453"
"WALKER","3","=453"
"WATSON","3","=453"
"WILL","3","=453"
"WOLFGANG","3","=453"
"WREN","3","=453"
"YAHYA","3","=453"
"YASIN","3","=453"
"YOUSEF","3","=453"
"YUVAAN","3","=453"
"YUVRAJ","3","=453"
"ZAIDEN","3","=453"
"ZAVIYAR","3","=453"
"ZAYAN","3","=453"
"ZAYNE","3","=453"
"AARAV","2","=600"
"AARIT","2","=600"
"AARUSH","2","=600"
"AARYAN","2","=600"
"AAYANSH","2","=600"
"ABBAS","2","=600"
"ADRIEL","2","=600"
"AFFAN","2","=600"
"AIDAN","2","=600"
"AJAY","2","=600"
"AKAAL","2","=600"
"ALAN","2","=600"
"ALASTAIR","2","=600"
"ALIER","2","=600"
"ALVEY","2","=600"
"AMAR","2","=600"
"AMBROSE","2","=600"
"AMIN","2","=600"
"AMOS","2","=600"
"ANWAR","2","=600"
"ANYUON","2","=600"
"APOLLO","2","=600"
"ARCHIBALD","2","=600"
"ARDEN","2","=600"
"AREN","2","=600"
"ARHAM","2","=600"
"ARLEN","2","=600"
"ARLEY","2","=600"
"ARMAN","2","=600"
"ARROW","2","=600"
"ARSHIV","2","=600"
"ARTEMIS","2","=600"
"ARTIE","2","=600"
"ARVIN","2","=600"
"ASH","2","=600"
"ATHARV","2","=600"
"ATREYU","2","=600"
"AUGUSTUS","2","=600"
"AVEER","2","=600"
"AVIR","2","=600"
"AVIRAAJ","2","=600"
