Given Name,Number,Position
JUNE,2,518
JUNIPER,2,518
JUNO,2,518
KAILEY,2,518
KARLA,2,518
KATALINA,2,518
KAVYA,2,518
KAYDENCE,2,518
KEELY,2,518
KELSIE,2,518
KENDALL,2,518
KENNEDY,2,518
KENSI,2,518
KIARNA,2,518
KIMBERLY,2,518
KIRRA,2,518
KOBIE,2,518
KRISTINA,2,518
KYRA,2,518
KYRAH,2,518
LACI,2,518
LAILA,2,518
LAINEY,2,518
LAKITA,2,518
LILITH,2,518
LILLA,2,518
LIYANA,2,518
LOIS,2,518
LOUISA,2,518
LUCA,2,518
LUCIA,2,518
LUELLA,2,518
LYRA,2,518
LYRIC,2,518
MAHIRA,2,518
MAHLI,2,518
MAJA,2,518
MALI,2,518
MANJARI,2,518
MANNAT,2,518
MARGARET,2,518
MARGAUX,2,518
MARIAM,2,518
MARINA,2,518
MARISSA,2,518
MARLEIGH,2,518
MARNI,2,518
MARWA,2,518
MARYAM,2,518
MAY,2,518
MEERA,2,518
MEHER,2,518
MEIKE,2,518
MEILANI,2,518
MELIKA,2,518
MELINA,2,518
MELISSA,2,518
MIAMI,2,518
MIYA,2,518
MONIKA,2,518
MYLAH,2,518
MYRAH,2,518
NABA,2,518
NADIA,2,518
NADYA,2,518
NAOMI,2,518
NATIA,2,518
NAYSA,2,518
NEAVE,2,518
NEHA,2,518
NEYSA,2,518
NHI,2,518
NICOLETTE,2,518
NIMRIT,2,518
NIRVA,2,518
NOA,2,518
NOVA,2,518
NYAH,2,518
NYIBOL,2,518
OCEA,2,518
OLANNA,2,518
OONA,2,518
OPHELIA,2,518
PAISLEY,2,518
PALOMA,2,518
PARNEET,2,518
PATRICIA,2,518
PETRA,2,518
POLLY,2,518
PORSHA,2,518
PORTIA,2,518
RAHNI,2,518
RANIA,2,518
RASEEL,2,518
REET,2,518
REGINA,2,518
REMI,2,518
ROISIN,2,518
ROSALIE,2,518
ROSEMARY,2,518
RYLEIGH,2,518
SAANJH,2,518
SAANVI,2,518
SABRINA,2,518
SAI,2,518
SAMREEN,2,518
SANAYA,2,518
SAOIRSE,2,518
SASCHA,2,518
SASKIA,2,518
SAVANA,2,518
SEERAT,2,518
SEHAJ,2,518
SENUKI,2,518
SERAH,2,518
SHAKIRA,2,518
SHANAYA,2,518
SHANNON,2,518
SHAYLEE,2,518
SHYLA,2,518
SIANNA,2,518
SIMAR,2,518
SKYLAR,2,518
SOLIANA,2,518
SPENCER,2,518
SWARA,2,518
TABITHA,2,518
TALLULAH,2,518
TANVI,2,518
TATIANA,2,518
TAVIA,2,518
TEHYA,2,518
TEHZEEB,2,518
TEMPERANCE,2,518
TESS,2,518
THEODORA,2,518
TIARA,2,518
TINA,2,518
TINASHE,2,518
TONII,2,518
TORAH,2,518
TRACY,2,518
TWIN,2,518
TYLER,2,518
VADA,2,518
VALERIE,2,518
VANESSA,2,518
VERA,2,518
VIOLETTA,2,518
VIVIAN,2,518
WINIFRED,2,518
WREN,2,518
XI,2,518
YANA,2,518
ZAHLIA,2,518
ZAIRA,2,518
ZALIA,2,518
ZARIA,2,518
ZARLI,2,518
ZAYNAB,2,518
ZELDA,2,518
ZOYA,2,518
AABIRA,1,839
AADHIRA,1,839
AADHYA,1,839
AAILA,1,839
AAIMA,1,839
AALEIA,1,839
AALEYAH,1,839
AALIA,1,839
AALILAH,1,839
AAMARAIIS,1,839
AANIA,1,839
AANIYA,1,839
AANVI,1,839
AARAM,1,839
AARIKA,1,839
AARMANI,1,839
AAROHI,1,839
AARVI,1,839
AARYA,1,839
AASHVI,1,839
AASTHA,1,839
AAYLA,1,839
AAYRA,1,839
ABBI,1,839
ABBIGAIL,1,839
ABBIGALE,1,839
ABI,1,839
ABIGAILE,1,839
ABIOL,1,839
ABLAVI,1,839
ABUOL,1,839
ACENG,1,839
ACHAI,1,839
ACHOL,1,839
ACIECH,1,839
ACSAH,1,839
ADDALYN,1,839
ADDIE,1,839
ADELA,1,839
ADELINA,1,839
ADELISE,1,839
ADELLERIE,1,839
ADELYNN,1,839
ADHEYA,1,839
ADNA,1,839
ADRIANAH,1,839
ADRIANNA,1,839
ADRIENE,1,839
ADUAL,1,839
ADZKIYA,1,839
AELAYAH,1,839
AF-NEBYAT,1,839
