First Name,Amount,Position
"AAYUSHI","2","=576"
"ABBEY","2","=576"
"ACHOL","2","=576"
"ADAEZE","2","=576"
"ADALIND","2","=576"
"ADALYNN","2","=576"
"ADDALYN","2","=576"
"ADELE","2","=576"
"ADELLE","2","=576"
"ADIRA","2","=576"
"AGATHA","2","=576"
"AINSLEY","2","=576"
"AKOI","2","=576"
"AKUOL","2","=576"
"ALANI","2","=576"
"ALAYNA","2","=576"
"ALEX","2","=576"
"ALIA","2","=576"
"ALICIA","2","=576"
"ALIRA","2","=576"
"ALISA","2","=576"
"ALISHA","2","=576"
"ALTHEA","2","=576"
"AMAIRA","2","=576"
"AMALIYAH","2","=576"
"AMANAT","2","=576"
"AMANI","2","=576"
"AMARI","2","=576"
"AMARLIA","2","=576"
"AMELIAH","2","=576"
"AMIRAH","2","=576"
"AMITY","2","=576"
"AMORA","2","=576"
"AMREEN","2","=576"
"AMY","2","=576"
"AMYRA","2","=576"
"ANAYAH","2","=576"
"ANDIE","2","=576"
"ANDRIANA","2","=576"
"ANISA","2","=576"
"ANNIE","2","=576"
"ANYIETH","2","=576"
"ARAYA","2","=576"
"ARCADIA","2","=576"
"ARI","2","=576"
"ARIANNA","2","=576"
"ARLEE","2","=576"
"ARLO","2","=576"
"ARMANI","2","=576"
"ARNAAZ","2","=576"
"ARRIETTY","2","=576"
"ARWA","2","=576"
"ARWEN","2","=576"
"ARZOE","2","=576"
"ASHLEIGH","2","=576"
"AUBREE","2","=576"
"AUDRINA","2","=576"
"AVAH","2","=576"
"AVANI","2","=576"
"AVAYAH","2","=576"
"AVERY","2","=576"
"AVIA","2","=576"
"AVIANA","2","=576"
"AVIE","2","=576"
"AVIKA","2","=576"
"AVLEEN","2","=576"
"AVNEET","2","=576"
"AYAH","2","=576"
"AYAT","2","=576"
"AYLAH","2","=576"
"AYLIN","2","=576"
"AZALIAH","2","=576"
"AZURI","2","=576"
"BABY","2","=576"
"BARKAT","2","=576"
"BEATRICE","2","=576"
"BEATRIX","2","=576"
"BEAU","2","=576"
"BESSIE","2","=576"
"BIBI","2","=576"
"BIRDIE","2","=576"
"BLAIRE","2","=576"
"BOBBY","2","=576"
"BRIELLE","2","=576"
"BRONTE","2","=576"
"BRONWYN","2","=576"
"CADENCE","2","=576"
"CAITLIN","2","=576"
"CAMDEN","2","=576"
"CAMELLIA","2","=576"
"CAMILLA","2","=576"
"CANDICE","2","=576"
"CAROLINE","2","=576"
"CASSANDRA","2","=576"
"CELIA","2","=576"
"CHRISTINE","2","=576"
"CING","2","=576"
"CIRILLA","2","=576"
"CYNTHIA","2","=576"
"DALLAS","2","=576"
"DANA","2","=576"
"DARIA","2","=576"
"DHRITI","2","=576"
"DINA","2","=576"
"DITYA","2","=576"
"DIYA","2","=576"
"DOTTIE","2","=576"
"DREAM","2","=576"
"DUAA","2","=576"
"DWIJA","2","=576"
"EBADAT","2","=576"
"EDIE","2","=576"
"EDWINA","2","=576"
"ELAYNA","2","=576"
"ELEANORA","2","=576"
"ELEIA","2","=576"
"ELIA","2","=576"
"ELIANNA","2","=576"
"ELIORA","2","=576"
"ELKE","2","=576"
"ELLIOT","2","=576"
"ELLIOTT","2","=576"
"EMERY","2","=576"
"EMI","2","=576"
"ERAM","2","=576"
"ERHA","2","=576"
"ERIN","2","=576"
"ESMAE","2","=576"
"ESMEE","2","=576"
"ESSIE","2","=576"
"ESTEE","2","=576"
"ETTA","2","=576"
"EVALEE","2","=576"
"EVANI","2","=576"
"EVERLEE","2","=576"
"FIADH","2","=576"
"FIONA","2","=576"
"FLORA","2","=576"
"GERTIE","2","=576"
"GIOVANNA","2","=576"
"GLADYS","2","=576"
"GURASEES","2","=576"
"GURNAAZ","2","=576"
"GURSHABAD","2","=576"
"HANIA","2","=576"
"HANNA","2","=576"
"HARJAP","2","=576"
"HARLEE","2","=576"
"HARMONY","2","=576"
"HAYA","2","=576"
"HAYDEN","2","=576"
"HAYLIE","2","=576"
"HEATHER","2","=576"
"HIVA","2","=576"
"HOLLIE","2","=576"
"HONEY","2","=576"
"IDA","2","=576"
"ILAAHI","2","=576"
"ILIANA","2","=576"
"IMAN","2","=576"
"IMANI","2","=576"
"INAAYA","2","=576"
"INDIA","2","=576"
"INGA","2","=576"
"IQRA","2","=576"
"IRA","2","=576"
"IRENE","2","=576"
"ISABELA","2","=576"
"ISHA","2","=576"
"ISHANA","2","=576"
"IVA","2","=576"
"IVY-ROSE","2","=576"
"IZZY","2","=576"
"JANAYA","2","=576"
"JANICA","2","=576"
"JAYA","2","=576"
"JAYLAH","2","=576"
"JAZLYN","2","=576"
"JEANIE","2","=576"
"JEMIMA","2","=576"
"JENNY","2","=576"
"JESSIE","2","=576"
"JIYA","2","=576"
"JIYANA","2","=576"
"JOY","2","=576"
"JUDITH","2","=576"
"KAIRI","2","=576"
"KAITLYN","2","=576"
"KALEAH","2","=576"
"KALILA","2","=576"
"KALIYAH","2","=576"
"KANEESHA","2","=576"
"KARMA","2","=576"
"KATARINA","2","=576"
"KATIE","2","=576"
"KATRINA","2","=576"
"KAVYA","2","=576"
"KEELEY","2","=576"
"KELLY","2","=576"
"KHADIJA","2","=576"
"KHALANI","2","=576"
"KHWAISH","2","=576"
"KIRBY","2","=576"
"KIRSTY","2","=576"
"KLARA","2","=576"
"KLEA","2","=576"
"KOAH","2","=576"
"KORRA","2","=576"
"KRISHA","2","=576"
"KYRA","2","=576"
"LACIE","2","=576"
"LAILAH","2","=576"
"LAINE","2","=576"
"LAVINIA","2","=576"
"LAYLAH","2","=576"
"LEELA","2","=576"
"LENNA","2","=576"
"LEONORA","2","=576"
"LETTY","2","=576"
"LEXIE","2","=576"
"LILITH","2","=576"
"LILLIE","2","=576"
"LILY-ROSE","2","=576"
"LONDON","2","=576"
"LORELAI","2","=576"
"LUCIANA","2","=576"
"LYANNA","2","=576"
"MACKENNA","2","=576"
"MAELA","2","=576"
"MAHA","2","=576"
"MAHEEN","2","=576"
"MAHLIA","2","=576"
"MAHSA","2","=576"
"MAIZIE","2","=576"
"MAJA","2","=576"
"MAKENNA","2","=576"
"MALANI","2","=576"
"MALEAH","2","=576"
"MALLEE","2","=576"
"MANAIA","2","=576"
"MANASVI","2","=576"
"MANHA","2","=576"
"MAPLE","2","=576"
"MARA","2","=576"
"MARGAUX","2","=576"
"MARIANA","2","=576"
"MARINA","2","=576"
"MARTINA","2","=576"
"MARTINE","2","=576"
"MARWA","2","=576"
"MAVIS","2","=576"
"MAX","2","=576"
"MAXINE","2","=576"
"MCKENZIE","2","=576"
"MCKINLEY","2","=576"
"MEHNOOR","2","=576"
"MEI","2","=576"
"MICHAELA","2","=576"
"MICHELLE","2","=576"
"MILICA","2","=576"
"MIMI","2","=576"
"MINNIE","2","=576"
"MIRA","2","=576"
"MIRANDA","2","=576"
"MIRAYA","2","=576"
"MIRHA","2","=576"
"MISTY","2","=576"
"MOANA","2","=576"
"NADIA","2","=576"
"NAIA","2","=576"
"NAKITA","2","=576"
"NASEEB","2","=576"
"NATALIA","2","=576"
"NAVI","2","=576"
"NAVYA","2","=576"
"NAYUMA","2","=576"
"NEDA","2","=576"
"NELLA","2","=576"
"NEVE","2","=576"
"NGAN","2","=576"
"NGOC","2","=576"
"NIANG","2","=576"
"NIYA","2","=576"
"NYAH","2","=576"
"NYSA","2","=576"
"OAKLEE","2","=576"
"OCEA","2","=576"
"OCEANA","2","=576"
"OCIE","2","=576"
"ODESSA","2","=576"
"ORLA","2","=576"
"PAITYN","2","=576"
"PATRICIA","2","=576"
"PHILIPPA","2","=576"
"PHILOMENA","2","=576"
"POLLY","2","=576"
"POSIE","2","=576"
"POSY","2","=576"
"PRABHGUN","2","=576"
"PRANIKA","2","=576"
"PRANSHI","2","=576"
"RAAVI","2","=576"
"RABAB","2","=576"
"RACHAEL","2","=576"
"RAELYNN","2","=576"
"RAHA","2","=576"
"RAVYA","2","=576"
"REGGIE","2","=576"
"REGINA","2","=576"
"REMY","2","=576"
"REYA","2","=576"
"RHIANNON","2","=576"
"RIVA","2","=576"
"RIYA","2","=576"
"RIYASAT","2","=576"
"ROMEE","2","=576"
"ROMY","2","=576"
"ROONEY","2","=576"
"RORY","2","=576"
"ROWAN","2","=576"
"ROWIE","2","=576"
"RUHI","2","=576"
"RUQAYYA","2","=576"
"SADAA","2","=576"
"SAFIYA","2","=576"
"SAILAH","2","=576"
"SALOME","2","=576"
"SAMARA","2","=576"
"SAOIRSE","2","=576"
"SAPPHIRE","2","=576"
"SARINA","2","=576"
"SARSHA","2","=576"
"SASHA","2","=576"
"SAVREEN","2","=576"
"SEERAT","2","=576"
"SEHAJ","2","=576"
"SEHRISH","2","=576"
"SEQUOIA","2","=576"
"SERAH","2","=576"
"SERENA","2","=576"
"SHANAE","2","=576"
"SHANAYA","2","=576"
"SHAYLA","2","=576"
"SHREE","2","=576"
"SHRIVA","2","=576"
"SIENA","2","=576"
"SKYLA","2","=576"
"SKYLAH","2","=576"
"SORAYA","2","=576"
"STEPHANIE","2","=576"
"TALA","2","=576"
"TALIA","2","=576"
"TALLULAH","2","=576"
"TAMIKA","2","=576"
"TATIANA","2","=576"
"TAYLOR","2","=576"
"THEODORA","2","=576"
"THERESA","2","=576"
"TILLIE","2","=576"
"TRINITY","2","=576"
"VALENCIA","2","=576"
"VANI","2","=576"
"VASILIKI","2","=576"
"VAYDA","2","=576"
"VERITY","2","=576"
"VIHA","2","=576"
"VITTORIA","2","=576"
"WENDY","2","=576"
"WHITNEY","2","=576"
"WYN","2","=576"
"WYNTER","2","=576"
"XINGYI","2","=576"
"XINYU","2","=576"
"XYLAH","2","=576"
"YASMIN","2","=576"
"YUMI","2","=576"
"ZADIE","2","=576"
"ZAHLIA","2","=576"
"ZAIRA","2","=576"
"ZALI","2","=576"
"ZALIAH","2","=576"
"ZANA","2","=576"
"ZANI","2","=576"
"ZARAH","2","=576"
"ZARIYA","2","=576"
"ZAYLAH","2","=576"
"ZAYLEE","2","=576"
"ZEINA","2","=576"
"ZENA","2","=576"
"ZIANA","2","=576"
"ZIENNA","2","=576"
"ZOFIA","2","=576"
"ZYLA","2","=576"
"AADHIRAI","1","=974"
"AADHVIKA","1","=974"
"AAHANA","1","=974"
"AAILANI","1","=974"
"AAISHA","1","=974"
"AALINAH","1","=974"
"AAMYRA","1","=974"
"AANUOLUWAPO","1","=974"
"AARA","1","=974"
"AARADHYA","1","=974"
"AARIVA","1","=974"
"AARIYAH","1","=974"
"AARVIKA","1","=974"
"AARZA","1","=974"
"AARZOYI","1","=974"
"AASIYAH","1","=974"
"AAVA","1","=974"
"AAVAN","1","=974"
"AAYAT","1","=974"
"AAYLA","1","=974"
"AAYRAH","1","=974"
"ABBY","1","=974"
"ABENA","1","=974"
"ABENY","1","=974"
"ABHISHU","1","=974"
"ABIGAYLE","1","=974"
"ABRIELLE","1","=974"
"ABRIL","1","=974"
"ABRISH","1","=974"
"ABUK","1","=974"
"ACACIA","1","=974"
"ACHALA","1","=974"
"ACHOK","1","=974"
"ADABREET","1","=974"
"ADANA","1","=974"
"ADANNA","1","=974"
"ADANNAYA","1","=974"
"ADDILYN","1","=974"
"ADDISYN","1","=974"
"ADELYNN","1","=974"
"ADHITHI","1","=974"
"ADIELA","1","=974"
"ADINA","1","=974"
"ADIOR","1","=974"
"ADLIYAH","1","=974"
"ADRIA","1","=974"
"ADRIENNE","1","=974"
"ADUT","1","=974"
"ADVIKA","1","=974"
"ADVITA","1","=974"
"ADWAITHA","1","=974"
"AEDHANI","1","=974"
"AELA","1","=974"
"AELIA","1","=974"
"AERIES","1","=974"
"AERIS","1","=974"
"AERITH","1","=974"
"AESHLYNN","1","=974"
"AFIFAH","1","=974"
"AFIVI","1","=974"
"AFIYA","1","=974"
"AFRODITI","1","=974"
"AGHOGHO","1","=974"
"AGOT","1","=974"
"AGUIL","1","=974"
"AHALYA","1","=974"
"AHANA","1","=974"
"AHDIKA","1","=974"
"AHLI","1","=974"
"AHRIA","1","=974"
"AHVASHI","1","=974"
"AILA","1","=974"
"AILANI","1","=974"
"AILEEN","1","=974"
"AILENE","1","=974"
"AILSIE","1","=974"
"AIMEE","1","=974"
"AINHOA","1","=974"
"AINSLEY-KAYE","1","=974"
"AIRMIESS","1","=974"
"AISHVI","1","=974"
"AISLA","1","=974"
"AISOSA","1","=974"
"AITANA","1","=974"
"AIUR","1","=974"
"AIYAH","1","=974"
"AIYANA","1","=974"
"AIZAL","1","=974"
"AIZEL","1","=974"
"AJLA","1","=974"
"AJUNI","1","=974"
"AKEIRA","1","=974"
"AKUACH","1","=974"
"AL","1","=974"
"ALAAP","1","=974"
"ALAIAH","1","=974"
"ALAIYA","1","=974"
"ALAIYAH","1","=974"
"ALAIYHA","1","=974"
"ALANI-ROSE","1","=974"
"ALAYAH-ROSE","1","=974"
"ALBA","1","=974"
"ALCINA","1","=974"
"ALEIA","1","=974"
"ALEJANDRA","1","=974"
"ALEKSIA","1","=974"
"ALEKXI","1","=974"
"ALENCIA","1","=974"
"ALESHA","1","=974"
