Given Name,Amount,Position
"MORGAN","8","=197"
"NEVAEH","8","=197"
"PAYTON","8","=197"
"RACHEL","8","=197"
"SASKIA","8","=197"
"SKYLAH","8","=197"
"THEA","8","=197"
"ZAHRA","8","=197"
"ADA","7","=222"
"ALISHA","7","=222"
"ANGELINA","7","=222"
"ANNALISE","7","=222"
"ARIAH","7","=222"
"AZALEA","7","=222"
"CALLIE","7","=222"
"EMELIA","7","=222"
"FATIMA","7","=222"
"FELICITY","7","=222"
"GABRIELLE","7","=222"
"GEORGINA","7","=222"
"HALLIE","7","=222"
"IVANA","7","=222"
"IZABELLA","7","=222"
"KAITLYN","7","=222"
"LEILA","7","=222"
"LILLIANA","7","=222"
"LULU","7","=222"
"MABEL","7","=222"
"MAIA","7","=222"
"MARIA","7","=222"
"MARLEE","7","=222"
"MYLA","7","=222"
"NAOMI","7","=222"
"NATASHA","7","=222"
"NIAMH","7","=222"
"NICOLE","7","=222"
"SASHA","7","=222"
"SIERRA","7","=222"
"SKYLA","7","=222"
"TIANA","7","=222"
"TILLY","7","=222"
"ALESSANDRA","6","=255"
"ALICIA","6","=255"
"ALLEGRA","6","=255"
"AUTUMN","6","=255"
"AVERY","6","=255"
"BEATRIX","6","=255"
"BLAIR","6","=255"
"BRONTE","6","=255"
"CHIARA","6","=255"
"CRYSTAL","6","=255"
"ELODIE","6","=255"
"EMMIE","6","=255"
"ESTELLA","6","=255"
"EVE","6","=255"
"GENEVIEVE","6","=255"
"HAILEY","6","=255"
"JOANNA","6","=255"
"KATELYN","6","=255"
"KHLOE","6","=255"
"LAILA","6","=255"
"LIA","6","=255"
"LOTTIE","6","=255"
"LOUISA","6","=255"
"LUCIA","6","=255"
"MONIQUE","6","=255"
"MYA","6","=255"
"NORAH","6","=255"
"PHOENIX","6","=255"
"RILEY","6","=255"
"SAGE","6","=255"
"SKYLAR","6","=255"
"STEPHANIE","6","=255"
"STEVIE","6","=255"
"VANESSA","6","=255"
"ZAHLI","6","=255"
"ABBIE","5","=290"
"ADELINE","5","=290"
"AIMEE","5","=290"
"AIRLIE","5","=290"
"ALANNAH","5","=290"
"ALESSIA","5","=290"
"ALINA","5","=290"
"ALIYAH","5","=290"
"AMALIA","5","=290"
"AMANDA","5","=290"
"ANABELLE","5","=290"
"ANAYA","5","=290"
"ANGEL","5","=290"
"ANITA","5","=290"
"ANYA","5","=290"
"ARIELLA","5","=290"
"ARIELLE","5","=290"
"ASHER","5","=290"
"ASHLEE","5","=290"
"ATHENA","5","=290"
"AYLAH","5","=290"
"BRIDGET","5","=290"
"BROOKE","5","=290"
"CADENCE","5","=290"
"CAITLYN","5","=290"
"CATHERINE","5","=290"
"CLARE","5","=290"
"DANIELLA","5","=290"
"DARCIE","5","=290"
"EDIE","5","=290"
"EDITH","5","=290"
"ELAINA","5","=290"
"EMILIE","5","=290"
"EMMELINE","5","=290"
"FRANCESCA","5","=290"
"HOLLIE","5","=290"
"INDIGO","5","=290"
"IRIS","5","=290"
"JACINTA","5","=290"
"KALEY","5","=290"
"KARA","5","=290"
"KATE","5","=290"
"KATHERINE","5","=290"
"KEIRA","5","=290"
"KENZI","5","=290"
"LANI","5","=290"
"LIANA","5","=290"
"LYLAH","5","=290"
"MAE","5","=290"
"MARIAH","5","=290"
"MILANA","5","=290"
"NANCY","5","=290"
"RUTH","5","=290"
"SIENA","5","=290"
"TAYLAH","5","=290"
"TORAH","5","=290"
"VERA","5","=290"
"AANYA","4","=347"
"ALIA","4","=347"
"ALISON","4","=347"
"ALIVIA","4","=347"
"ANIKA","4","=347"
"ARIYA","4","=347"
"ARLIA","4","=347"
"ASHLEIGH","4","=347"
"ASHLYN","4","=347"
"AYESHA","4","=347"
"AYVA","4","=347"
"AZALIA","4","=347"
"BAYLEE","4","=347"
"BRIDIE","4","=347"
"CHANTELLE","4","=347"
"CHARLIZE","4","=347"
"CINDY","4","=347"
"EADIE","4","=347"
"EDWINA","4","=347"
"ELLY","4","=347"
"ELSPETH","4","=347"
"EMILEE","4","=347"
"ERICA","4","=347"
"EVANGELINE","4","=347"
"FRANCES","4","=347"
"GEORGIE","4","=347"
"HARLOW","4","=347"
"HAVANA","4","=347"
"HENLEY","4","=347"
"JADA","4","=347"
"JAZMIN","4","=347"
"JOLIE","4","=347"
"JOY","4","=347"
"JULIA","4","=347"
"KATERINA","4","=347"
"LENA","4","=347"
"LILIANA","4","=347"
"LINA","4","=347"
"LUCIE","4","=347"
"MACIE","4","=347"
"MADDIE","4","=347"
"MCKENZIE","4","=347"
"MELISSA","4","=347"
"MIKAELA","4","=347"
"MILANIA","4","=347"
"MILLY","4","=347"
"NAHLA","4","=347"
"NICOLA","4","=347"
"NIKITA","4","=347"
"NINA","4","=347"
"NORA","4","=347"
"NYAH","4","=347"
"PENNY","4","=347"
"RIVER","4","=347"
"ROSALIE","4","=347"
"RYLEE","4","=347"
"SAFFRON","4","=347"
"SAHAR","4","=347"
"SALLY","4","=347"
"SANA","4","=347"
"SAPPHIRE","4","=347"
"SARINA","4","=347"
"SYLVIE","4","=347"
"TAMIKA","4","=347"
"TIA","4","=347"
"TIFFANY","4","=347"
"VIVIAN","4","=347"
"WINNIE","4","=347"
"ZALI","4","=347"
"ZOFIA","4","=347"
"AARNA","3","=417"
"ABBEY","3","=417"
"ACACIA","3","=417"
"ADDISYN","3","=417"
"ADRIANA","3","=417"
"AKIRA","3","=417"
"ALBA","3","=417"
"ALEENA","3","=417"
"ALEERA","3","=417"
"ALEK","3","=417"
"ALISA","3","=417"
"ALLY","3","=417"
"ALYSHA","3","=417"
"ALYSSIA","3","=417"
"AMALI","3","=417"
"AMETHYST","3","=417"
"AMINA","3","=417"
"AMIRA","3","=417"
"ANH","3","=417"
"ANNABELLA","3","=417"
"ANNELIESE","3","=417"
"ANNIKA","3","=417"
"ASCHA","3","=417"
"AURELIA","3","=417"
"AYAK","3","=417"
"BAILEE","3","=417"
"BREANNA","3","=417"
"BRYDIE","3","=417"
"CALI","3","=417"
"CARA","3","=417"
"CARTIA","3","=417"
"CASEY","3","=417"
"CASSIE","3","=417"
"CECILIA","3","=417"
"CELINE","3","=417"
"CHANEL","3","=417"
"CHANELLE","3","=417"
"CHELSEY","3","=417"
"CHRISTINA","3","=417"
"CIARA","3","=417"
"CLAUDIA","3","=417"
"CLEO","3","=417"
"CYNTHIA","3","=417"
"DAPHNE","3","=417"
"ELAINE","3","=417"
"ELENI","3","=417"
"ELINA","3","=417"
"ELOUISE","3","=417"
"ELYSE","3","=417"
"EMI","3","=417"
"FARRAH","3","=417"
"GIULIA","3","=417"
"GLORIA","3","=417"
"HADLEY","3","=417"
"HANIA","3","=417"
"HARLEY","3","=417"
"HAYLEE","3","=417"
"HELEN","3","=417"
"HELENA","3","=417"
"IDA","3","=417"
"IONA","3","=417"
"ISHA","3","=417"
"JANE","3","=417"
"JAYA","3","=417"
"JAYDA","3","=417"
"JAYLAH","3","=417"
"JAZMINE","3","=417"
"JEMMA","3","=417"
"JESSIE","3","=417"
"JORDYN","3","=417"
"JULIET","3","=417"
"JUNE","3","=417"
"KAIA","3","=417"
"KAILEY","3","=417"
"KATHRYN","3","=417"
"KAYLEY","3","=417"
"KEELEY","3","=417"
"KELLY","3","=417"
"KELSEY","3","=417"
"KENDALL","3","=417"
"KENZIE","3","=417"
"KIANA","3","=417"
"KRISHA","3","=417"
"KRYSTAL","3","=417"
"LEXY","3","=417"
"LILIAN","3","=417"
"LILLIE","3","=417"
"LOUISE","3","=417"
"LUCA","3","=417"
"LUNA","3","=417"
"MAEVE","3","=417"
"MAHLI","3","=417"
"MAJA","3","=417"
"MALI","3","=417"
"MARGOT","3","=417"
"MARIAM","3","=417"
"MARISSA","3","=417"
"MARLI","3","=417"
"MATISSE","3","=417"
"MEGAN","3","=417"
"MERCEDES","3","=417"
"MIKA","3","=417"
"MIRA","3","=417"
"MONICA","3","=417"
"NADIA","3","=417"
"NAVYA","3","=417"
"NEVE","3","=417"
"NO","3","=417"
"PARIS","3","=417"
"PARKER","3","=417"
"PATRICIA","3","=417"
"PEGGY","3","=417"
"PHILIPPA","3","=417"
"PORTIA","3","=417"
"PRIYA","3","=417"
"RUBI","3","=417"
"SABRINA","3","=417"
"SAHARA","3","=417"
"SAMAIRA","3","=417"
"SAMARA","3","=417"
"SAPHIRA","3","=417"
"SELENA","3","=417"
"SELINA","3","=417"
"SHILOH","3","=417"
"SILVANA","3","=417"
"SKYLER","3","=417"
"SUMMA","3","=417"
"SUMMAH","3","=417"
"SYDNEY","3","=417"
"TABITHA","3","=417"
"TALA","3","=417"
"TALIA","3","=417"
"TALITHA","3","=417"
"TALIYAH","3","=417"
"TAYA","3","=417"
"TAYAH","3","=417"
"TEAGAN","3","=417"
"TELIA","3","=417"
"TIARNA","3","=417"
"TINA","3","=417"
"TORI","3","=417"
"TRISHA","3","=417"
"VALENTINA","3","=417"
"WYNTER","3","=417"
"ZAINAB","3","=417"
"ZARAH","3","=417"
"ZARLI","3","=417"
"AALIYA","2","=564"
"AASHNA","2","=564"
"ABBI","2","=564"
"ACHOL","2","=564"
"ADALYN","2","=564"
"ADDYSON","2","=564"
"ADELINA","2","=564"
"ADELLE","2","=564"
"AGNES","2","=564"
"AI","2","=564"
"AIESHA","2","=564"
"AILISH","2","=564"
"AISLIN","2","=564"
"AKASHA","2","=564"
"AKIRAH","2","=564"
"AKUOL","2","=564"
"AKUOT","2","=564"
"ALAINA","2","=564"
"ALASKA","2","=564"
"ALEAH","2","=564"
"ALEEYA","2","=564"
"ALEEYAH","2","=564"
"ALEIRA","2","=564"
"ALISSA","2","=564"
"ALIYA","2","=564"
"ALLIRA","2","=564"
"ALLISON","2","=564"
"AMAHLI","2","=564"
"AMALIE","2","=564"
"AMARLEE","2","=564"
"AMARNI","2","=564"
"AMIA","2","=564"
"AMIRAH","2","=564"
"ANA","2","=564"
"ANASTASIJA","2","=564"
"ANGELINE","2","=564"
"ANISA","2","=564"
"ANJA","2","=564"
"ANNALIESE","2","=564"
"ANSHIKA","2","=564"
"APAJOK","2","=564"
"ARCADIA","2","=564"
"ARIANNAH","2","=564"
"ARIE","2","=564"
"ARIEL","2","=564"
"ARIYAH","2","=564"
"ARIZONA","2","=564"
"ARMANI","2","=564"
"AROHA","2","=564"
"ARWEN","2","=564"
"ARYANA","2","=564"
"ASTRID","2","=564"
"ATHOK","2","=564"
"ATIEK","2","=564"
"AVAH","2","=564"
"AVREEN","2","=564"
"AYANA","2","=564"
"AYEN","2","=564"
"AYSHA","2","=564"
"AZARIA","2","=564"
