Name,Sex,Year,Count
JASON,Male,1988,254
LEANNE,Female,1963,254
RYAN,Male,1989,254
SUSAN,Female,1970,254
TIMOTHY,Male,1980,254
ADAM,Male,1977,253
ASHLEIGH,Female,1992,253
ELLA,Female,2002,253
GEORGIA,Female,1997,253
JESSICA,Female,1982,253
KELLY,Female,1979,253
KELLY,Female,1981,253
SHANE,Male,1966,253
SOPHIE,Female,2000,253
STEVEN,Male,1965,253
TIMOTHY,Male,1991,253
DYLAN,Male,2004,252
ISABELLA,Female,2003,252
JOHN,Male,1981,252
MICHELLE,Female,1963,252
NATHAN,Male,1978,252
STEVEN,Male,1962,252
SUSAN,Female,1971,252
ADAM,Male,1976,251
ANDREW,Male,1961,251
ANGELA,Female,1976,251
CHRISTINE,Female,1962,251
ISABELLA,Female,2002,251
JAKE,Male,2000,251
JENNIFER,Female,1965,251
LUKE,Male,1999,251
MELISSA,Female,1987,251
STEPHANIE,Female,1990,251
STEPHANIE,Female,1991,251
STEPHANIE,Female,1992,251
AMY,Female,1990,250
HELEN,Female,1964,250
ISABELLA,Female,2004,250
JULIE,Female,1968,250
WAYNE,Male,1964,250
WENDY,Female,1961,250
HARRISON,Male,2000,249
JAMES,Male,1979,249
JOHN,Male,1979,249
LISA,Female,1983,249
PAUL,Male,1980,249
SAMANTHA,Female,1986,249
ANDREW,Male,1962,248
ANTHONY,Male,1978,248
CHRISTOPHER,Male,1963,248
COURTNEY,Female,1994,248
JAYDEN,Male,2003,248
LISA,Female,1974,248
MELISSA,Female,1988,248
NICHOLAS,Male,1983,248
OLIVIA,Female,2004,248
ROBERT,Male,1986,248
STEVEN,Male,1984,248
WILLIAM,Male,1996,248
ADAM,Male,1990,247
CONNOR,Male,1998,247
GRACE,Female,2004,247
LUKE,Male,1978,247
LUKE,Male,1998,247
LUKE,Male,2003,247
MELISSA,Female,1989,247
NICOLE,Female,1984,247
ROBYN,Female,1961,247
SHANE,Male,1979,247
BRETT,Male,1965,246
CATHERINE,Female,1964,246
JAYDEN,Male,1999,246
SAMANTHA,Female,1995,246
SHANE,Male,1978,246
AARON,Male,1988,245
ALEXANDER,Male,1998,245
SHARON,Female,1971,245
AMY,Female,1991,244
DEBORAH,Female,1963,244
DEBORAH,Female,1964,244
EMILY,Female,1990,244
JESSE,Male,1996,244
KEVIN,Male,1963,244
NATHAN,Male,1997,244
NICOLE,Female,1970,244
PETER,Male,1985,244
STEPHEN,Male,1977,244
TROY,Male,1977,244
AARON,Male,1987,243
BRADLEY,Male,1976,243
BRETT,Male,1974,243
CONNOR,Male,1999,243
EMMA,Female,1986,243
ISABELLA,Female,2005,243
REBECCA,Female,1975,243
ROBERT,Male,1987,243
WAYNE,Male,1966,243
AARON,Male,1982,242
ANTHONY,Male,1983,242
ASHLEIGH,Female,1991,242
JODIE,Female,1972,242
JORDAN,Male,2002,242
LACHLAN,Male,1994,242
LILY,Female,2005,242
LUKE,Male,2001,242
SCOTT,Male,1989,242
SHANE,Male,1965,242
CHRISTINE,Female,1963,241
CHRISTOPHER,Male,1966,241
DYLAN,Male,2005,241
JAKE,Male,1999,241
JODIE,Female,1973,241
KYLE,Male,1998,241
STEVEN,Male,1964,241
AARON,Male,1979,240
AARON,Male,1989,240
AMY,Female,1987,240
