"","name","number","sex","year"
"351","Mackenzie",101,"Female",2022
"352","Eloise",100,"Female",2022
"353","Zara",99,"Female",2022
"354","Emily",99,"Female",2022
"355","Hallie",95,"Female",2022
"356","Ayla",94,"Female",2022
"357","Lola",92,"Female",2022
"358","Piper",91,"Female",2022
"359","Hannah",90,"Female",2022
"360","Bonnie",89,"Female",2022
"361","Stella",86,"Female",2022
"362","Olive",83,"Female",2022
"363","Harriet",83,"Female",2022
"364","Charlie",83,"Female",2022
"365","Delilah",82,"Female",2022
"366","Billie",81,"Female",2022
"367","Maya",80,"Female",2022
"368","Addison",80,"Female",2022
"369","Summer",79,"Female",2022
"370","Emma",78,"Female",2022
"371","Emilia",77,"Female",2022
"372","Harlow",73,"Female",2022
"373","Savannah",72,"Female",2022
"374","Lilly",71,"Female",2022
"375","Adeline",69,"Female",2022
"376","Peyton",68,"Female",2022
"377","Phoebe",68,"Female",2022
"378","Gracie",67,"Female",2022
"379","Athena",67,"Female",2022
"380","Thea",66,"Female",2022
"381","Rosie",65,"Female",2022
"382","Quinn",65,"Female",2022
"383","Eva",65,"Female",2022
"384","Elizabeth",65,"Female",2022
"385","Eden",63,"Female",2022
"386","Claire",62,"Female",2022
"387","Bella",62,"Female",2022
"388","Rose",61,"Female",2022
"389","Heidi",61,"Female",2022
"390","Pippa",60,"Female",2022
"391","Imogen",60,"Female",2022
"392","Margot",59,"Female",2022
"393","Madeline",55,"Female",2022
"394","Jasmine",54,"Female",2022
"395","Arabella",54,"Female",2022
"396","Sage",53,"Female",2022
"397","Skylar",52,"Female",2022
"398","Maggie",52,"Female",2022
"399","Brooklyn",52,"Female",2022
"400","Hayley",51,"Female",2022
"401","Oliver",506,"Male",2021
"402","Noah",419,"Male",2021
"403","Henry",363,"Male",2021
"404","William",347,"Male",2021
"405","Theodore",331,"Male",2021
"406","Hudson",302,"Male",2021
"407","Jack",296,"Male",2021
"408","Charlie",293,"Male",2021
"409","Elijah",277,"Male",2021
"410","Leo",274,"Male",2021
"411","Thomas",247,"Male",2021
"412","Archie",245,"Male",2021
"413","Harrison",235,"Male",2021
"414","Archer",231,"Male",2021
"415","Levi",230,"Male",2021
"416","Lucas",227,"Male",2021
"417","James",227,"Male",2021
"418","Luca",220,"Male",2021
"419","George",194,"Male",2021
"420","Harry",190,"Male",2021
"421","Hunter",186,"Male",2021
"422","Mason",182,"Male",2021
"423","Oscar",180,"Male",2021
"424","Arlo",180,"Male",2021
"425","Arthur",180,"Male",2021
"426","Cooper",179,"Male",2021
"427","Harvey",178,"Male",2021
"428","Liam",177,"Male",2021
"429","Lachlan",171,"Male",2021
"430","Ethan",169,"Male",2021
"431","Carter",169,"Male",2021
"432","Lincoln",165,"Male",2021
"433","Finn",160,"Male",2021
"434","Alexander",158,"Male",2021
"435","Benjamin",156,"Male",2021
"436","Riley",152,"Male",2021
"437","Kai",151,"Male",2021
"438","Hugo",149,"Male",2021
"439","Xavier",143,"Male",2021
"440","Samuel",136,"Male",2021
"441","Max",136,"Male",2021
"442","Eli",129,"Male",2021
"443","Flynn",127,"Male",2021
"444","Joseph",124,"Male",2021
"445","Sebastian",122,"Male",2021
"446","Patrick",121,"Male",2021
"447","Beau",119,"Male",2021
"448","Jackson",118,"Male",2021
"449","Isaac",113,"Male",2021
"450","Theo",112,"Male",2021
"451","Austin",110,"Male",2021
"452","Ezra",108,"Male",2021
"453","Jaxon",106,"Male",2021
"454","Jacob",105,"Male",2021
"455","Edward",105,"Male",2021
"456","Parker",103,"Male",2021
"457","Jasper",103,"Male",2021
"458","Connor",103,"Male",2021
"459","Sonny",102,"Male",2021
"460","Spencer",102,"Male",2021
"461","Luka",98,"Male",2021
"462","Angus",97,"Male",2021
"463","Ryan",96,"Male",2021
"464","Wyatt",93,"Male",2021
"465","Jordan",93,"Male",2021
"466","Charles",91,"Male",2021
"467","River",90,"Male",2021
"468","Louis",90,"Male",2021
"469","Joshua",90,"Male",2021
"470","Billy",90,"Male",2021
